wavenumber,n
1000,3.47727
1002.81,3.47727
1005.63,3.47727
1008.44,3.47728
1011.25,3.47728
1014.07,3.47728
1016.88,3.47728
1019.69,3.47728
1022.51,3.47728
1025.32,3.47728
1028.14,3.47728
1030.95,3.47728
1033.76,3.47728
1036.58,3.47728
1039.39,3.47728
1042.2,3.47728
1045.02,3.47729
1047.83,3.47729
1050.64,3.47729
1053.46,3.47729
1056.27,3.47729
1059.08,3.47729
1061.9,3.47729
1064.71,3.47729
1067.52,3.47729
1070.34,3.47729
1073.15,3.47729
1075.96,3.47729
1078.78,3.47729
1081.59,3.47729
1084.41,3.47729
1087.22,3.47729
1090.03,3.4773
1092.85,3.4773
1095.66,3.4773
1098.47,3.4773
1101.29,3.4773
1104.1,3.4773
1106.91,3.4773
1109.73,3.4773
1112.54,3.4773
1115.35,3.4773
1118.17,3.4773
1120.98,3.4773
1123.79,3.4773
1126.61,3.4773
1129.42,3.4773
1132.23,3.4773
1135.05,3.4773
1137.86,3.47731
1140.68,3.47731
1143.49,3.47731
1146.3,3.47731
1149.12,3.47731
1151.93,3.47731
1154.74,3.47731
1157.56,3.47731
1160.37,3.47731
1163.18,3.47731
1166,3.47731
1168.81,3.47731
1171.62,3.47731
1174.44,3.47731
1177.25,3.47731
1180.06,3.47731
1182.88,3.47731
1185.69,3.47731
1188.5,3.47732
1191.32,3.47732
1194.13,3.47732
1196.95,3.47732
1199.76,3.47732
1202.57,3.47732
1205.39,3.47732
1208.2,3.47732
1211.01,3.47732
1213.83,3.47732
1216.64,3.47732
1219.45,3.47732
1222.27,3.47732
1225.08,3.47732
1227.89,3.47732
1230.71,3.47732
1233.52,3.47732
1236.33,3.47732
1239.15,3.47733
1241.96,3.47733
1244.77,3.47733
1247.59,3.47733
1250.4,3.47733
1253.22,3.47733
1256.03,3.47733
1258.84,3.47733
1261.66,3.47733
1264.47,3.47733
1267.28,3.47733
1270.1,3.47733
1272.91,3.47733
1275.72,3.47733
1278.54,3.47733
1281.35,3.47733
1284.16,3.47733
1286.98,3.47733
1289.79,3.47734
1292.6,3.47734
1295.42,3.47734
1298.23,3.47734
1301.05,3.47734
1303.86,3.47734
1306.67,3.47734
1309.49,3.47734
