 wl,n
0,0
6.8306,2.11E-05
13.6612,4.22E-05
20.4918,6.33E-05
27.3224,8.44E-05
34.153,1.06E-04
40.9836,1.27E-04
47.8142,1.48E-04
54.6448,1.69E-04
61.4754,1.91E-04
68.306,2.12E-04
75.1366,2.34E-04
81.9672,2.56E-04
88.7978,2.77E-04
95.6284,2.99E-04
102.459,3.21E-04
109.29,3.44E-04
116.12,3.66E-04
122.951,3.88E-04
129.781,4.11E-04
136.612,4.34E-04
143.443,4.57E-04
150.273,4.80E-04
157.104,5.04E-04
163.934,5.27E-04
170.765,5.51E-04
177.596,5.76E-04
184.426,6.00E-04
191.257,6.25E-04
198.087,6.50E-04
204.918,6.75E-04
211.749,7.01E-04
218.579,7.27E-04
225.41,7.53E-04
232.24,7.80E-04
239.071,8.07E-04
245.902,8.34E-04
252.732,8.62E-04
259.563,8.91E-04
266.393,9.19E-04
273.224,9.49E-04
280.055,9.78E-04
286.885,0.00101
293.716,0.00104
300.546,0.00107
307.377,0.0011
314.208,0.00114
321.038,0.00117
327.869,0.0012
334.699,0.00124
341.53,0.00127
348.361,0.00131
355.191,0.00134
362.022,0.00138
368.852,0.00142
375.683,0.00146
382.514,0.0015
389.344,0.00154
396.175,0.00158
403.005,0.00162
409.836,0.00167
416.667,0.00171
423.497,0.00176
430.328,0.0018
437.158,0.00185
443.989,0.0019
450.82,0.00195
457.65,0.00201
464.481,0.00206
471.311,0.00211
478.142,0.00217
484.973,0.00223
491.803,0.00229
498.634,0.00235
505.464,0.00242
512.295,0.00248
519.126,0.00255
525.956,0.00262
532.787,0.00269
539.617,0.00276
546.448,0.00284
553.279,0.00292
560.109,0.003
566.94,0.00309
573.77,0.00318
580.601,0.00327
587.432,0.00336
594.262,0.00346
601.093,0.00356
607.923,0.00366
614.754,0.00377
621.585,0.00389
628.415,0.004
635.246,0.00413
642.077,0.00425
648.907,0.00439
655.738,0.00453
662.568,0.00467
669.399,0.00482
676.23,0.00498
683.06,0.00514
689.891,0.00531
696.721,0.00549
703.552,0.00568
710.383,0.00588
717.213,0.00609
724.044,0.00631
730.874,0.00653
737.705,0.00677
744.536,0.00703
751.366,0.00729
758.197,0.00758
765.027,0.00787
771.858,0.00819
778.689,0.00852
785.519,0.00888
792.35,0.00925
799.18,0.00965
806.011,0.01007
812.842,0.01052
819.672,0.01101
826.503,0.01152
833.333,0.01207
840.164,0.01266
846.995,0.0133
853.825,0.01398
860.656,0.01472
867.486,0.01552
874.317,0.01638
881.148,0.01732
887.978,0.01834
894.809,0.01945
901.639,0.02067
908.47,0.02201
915.301,0.02348
922.131,0.02511
928.962,0.02692
935.792,0.02893
942.623,0.03118
949.454,0.0337
956.284,0.03656
963.115,0.0398
969.945,0.04351
976.776,0.04778
983.607,0.05272
990.437,0.05851
997.268,0.06534
1004.1,0.07348
1010.93,0.08333
1017.76,0.09539
1024.59,0.11041
1031.42,0.12948
1038.25,0.15427
1045.08,0.1874
1051.91,0.23324
1058.74,0.29955
1065.57,0.40112
1072.4,0.56914
1079.23,0.87783
1086.07,1.52695
1092.9,2.99721
1099.73,4.83629
1106.56,4.78394
1113.39,4.0844
1120.22,3.49259
1127.05,3.04099
1133.88,2.68856
1140.71,2.40346
1147.54,2.16501
1154.37,1.95972
1161.2,1.77837
1168.03,1.6144
1174.86,1.46276
1181.69,1.31929
1188.52,1.18021
1195.36,1.0416
1202.19,0.89904
1209.02,0.74759
1215.85,0.58631
1222.68,0.44153
1229.51,0.36676
1236.34,0.36675
1243.17,0.44199
1250,0.63647
1256.83,0.99634
1263.66,1.25754
1270.49,1.18941
1277.32,1.01698
1284.15,0.84697
1290.98,0.69099
1297.81,0.54339
1304.64,0.39927
1311.48,0.26837
1318.31,0.17887
1325.14,0.12875
1331.97,0.09933
1338.8,0.08034
1345.63,0.06712
1352.46,0.05741
1359.29,0.04998
1366.12,0.04412
1372.95,0.03938
1379.78,0.03547
1386.61,0.03219
1393.44,0.0294
1400.27,0.02701
1407.1,0.02493
1413.93,0.0231
1420.77,0.02149
1427.6,0.02006
1434.43,0.01878
1441.26,0.01763
1448.09,0.01659
1454.92,0.01565
1461.75,0.01479
1468.58,0.014
1475.41,0.01328
1482.24,0.01262
1489.07,0.01201
1495.9,0.01144
1502.73,0.01092
1509.56,0.01043
1516.39,0.00997
1523.22,0.00955
1530.05,0.00915
1536.89,0.00878
1543.72,0.00843
1550.55,0.0081
1557.38,0.00779
1564.21,0.0075
1571.04,0.00723
1577.87,0.00697
1584.7,0.00672
1591.53,0.00649
1598.36,0.00627
1605.19,0.00606
1612.02,0.00586
1618.85,0.00568
1625.68,0.0055
1632.51,0.00532
1639.34,0.00516
1646.17,0.00501
1653.01,0.00486
1659.84,0.00471
1666.67,0.00458
1673.5,0.00445
1680.33,0.00432
1687.16,0.0042
1693.99,0.00409
1700.82,0.00398
1707.65,0.00387
1714.48,0.00377
1721.31,0.00367
1728.14,0.00358
1734.97,0.00349
1741.8,0.0034
1748.63,0.00332
1755.46,0.00324
1762.3,0.00316
1769.13,0.00308
1775.96,0.00301
1782.79,0.00294
1789.62,0.00287
1796.45,0.00281
1803.28,0.00274
1810.11,0.00268
1816.94,0.00262
1823.77,0.00257
1830.6,0.00251
1837.43,0.00246
1844.26,0.00241
1851.09,0.00236
1857.92,0.00231
1864.75,0.00226
1871.58,0.00221
1878.42,0.00217
1885.25,0.00212
1892.08,0.00208
1898.91,0.00204
1905.74,0.002
1912.57,0.00196
1919.4,0.00193
1926.23,0.00189
1933.06,0.00185
1939.89,0.00182
1946.72,0.00179
1953.55,0.00175
1960.38,0.00172
1967.21,0.00169
1974.04,0.00166
1980.87,0.00163
1987.7,0.0016
1994.54,0.00157
2001.37,0.00155
2008.2,0.00152
2015.03,0.00149
2021.86,0.00147
2028.69,0.00144
2035.52,0.00142
2042.35,0.0014
2049.18,0.00137
2056.01,0.00135
2062.84,0.00133
2069.67,0.00131
2076.5,0.00129
2083.33,0.00127
2090.16,0.00125
2096.99,0.00123
2103.83,0.00121
2110.66,0.00119
2117.49,0.00117
2124.32,0.00115
2131.15,0.00114
2137.98,0.00112
2144.81,0.0011
2151.64,0.00109
2158.47,0.00107
2165.3,0.00106
2172.13,0.00104
2178.96,0.00103
2185.79,0.00101
2192.62,9.96E-04
2199.45,9.82E-04
2206.28,9.68E-04
2213.11,9.55E-04
2219.95,9.41E-04
2226.78,9.28E-04
2233.61,9.15E-04
2240.44,9.03E-04
2247.27,8.91E-04
2254.1,8.79E-04
2260.93,8.67E-04
2267.76,8.55E-04
2274.59,8.44E-04
2281.42,8.33E-04
2288.25,8.22E-04
2295.08,8.11E-04
2301.91,8.01E-04
2308.74,7.90E-04
2315.57,7.80E-04
2322.4,7.70E-04
2329.23,7.60E-04
2336.07,7.51E-04
2342.9,7.41E-04
2349.73,7.32E-04
2356.56,7.23E-04
2363.39,7.14E-04
2370.22,7.05E-04
2377.05,6.97E-04
2383.88,6.88E-04
2390.71,6.80E-04
2397.54,6.72E-04
2404.37,6.64E-04
2411.2,6.56E-04
2418.03,6.48E-04
2424.86,6.40E-04
2431.69,6.33E-04
2438.52,6.25E-04
2445.36,6.18E-04
2452.19,6.11E-04
2459.02,6.04E-04
2465.85,5.97E-04
2472.68,5.90E-04
2479.51,5.84E-04
2486.34,5.77E-04
2493.17,5.70E-04
2500,5.64E-04
2506.83,5.58E-04
2513.66,5.52E-04
2520.49,5.45E-04
2527.32,5.39E-04
2534.15,5.34E-04
2540.98,5.28E-04
2547.81,5.22E-04
2554.64,5.16E-04
2561.48,5.11E-04
2568.31,5.05E-04
2575.14,5.00E-04
2581.97,4.95E-04
2588.8,4.89E-04
2595.63,4.84E-04
2602.46,4.79E-04
2609.29,4.74E-04
2616.12,4.69E-04
2622.95,4.64E-04
2629.78,4.60E-04
2636.61,4.55E-04
2643.44,4.50E-04
2650.27,4.46E-04
2657.1,4.41E-04
2663.93,4.37E-04
2670.77,4.32E-04
2677.6,4.28E-04
2684.43,4.24E-04
2691.26,4.20E-04
2698.09,4.15E-04
2704.92,4.11E-04
2711.75,4.07E-04
2718.58,4.03E-04
2725.41,3.99E-04
2732.24,3.95E-04
2739.07,3.92E-04
2745.9,3.88E-04
2752.73,3.84E-04
2759.56,3.80E-04
2766.39,3.77E-04
2773.22,3.73E-04
2780.05,3.70E-04
2786.89,3.66E-04
2793.72,3.63E-04
2800.55,3.59E-04
2807.38,3.56E-04
2814.21,3.53E-04
2821.04,3.50E-04
2827.87,3.46E-04
2834.7,3.43E-04
2841.53,3.40E-04
2848.36,3.37E-04
2855.19,3.34E-04
2862.02,3.31E-04
2868.85,3.28E-04
2875.68,3.25E-04
2882.51,3.22E-04
2889.34,3.19E-04
2896.17,3.16E-04
2903.01,3.14E-04
2909.84,3.11E-04
2916.67,3.08E-04
2923.5,3.05E-04
2930.33,3.03E-04
2937.16,3.00E-04
2943.99,2.98E-04
2950.82,2.95E-04
2957.65,2.92E-04
2964.48,2.90E-04
2971.31,2.87E-04
2978.14,2.85E-04
2984.97,2.83E-04
2991.8,2.80E-04
2998.63,2.78E-04
3005.46,2.75E-04
3012.3,2.73E-04
3019.13,2.71E-04
3025.96,2.69E-04
3032.79,2.66E-04
3039.62,2.64E-04
3046.45,2.62E-04
3053.28,2.60E-04
3060.11,2.58E-04
3066.94,2.56E-04
3073.77,2.54E-04
3080.6,2.52E-04
3087.43,2.49E-04
3094.26,2.47E-04
3101.09,2.45E-04
3107.92,2.44E-04
3114.75,2.42E-04
3121.58,2.40E-04
3128.42,2.38E-04
3135.25,2.36E-04
3142.08,2.34E-04
3148.91,2.32E-04
3155.74,2.30E-04
3162.57,2.29E-04
3169.4,2.27E-04
3176.23,2.25E-04
3183.06,2.23E-04
3189.89,2.22E-04
3196.72,2.20E-04
3203.55,2.18E-04
3210.38,2.16E-04
3217.21,2.15E-04
3224.04,2.13E-04
3230.87,2.12E-04
3237.7,2.10E-04
3244.54,2.08E-04
3251.37,2.07E-04
3258.2,2.05E-04
3265.03,2.04E-04
3271.86,2.02E-04
3278.69,2.01E-04
3285.52,1.99E-04
3292.35,1.98E-04
3299.18,1.96E-04
3306.01,1.95E-04
3312.84,1.93E-04
3319.67,1.92E-04
3326.5,1.91E-04
3333.33,1.89E-04
3340.16,1.88E-04
3346.99,1.86E-04
3353.83,1.85E-04
3360.66,1.84E-04
3367.49,1.83E-04
3374.32,1.81E-04
3381.15,1.80E-04
3387.98,1.79E-04
3394.81,1.77E-04
3401.64,1.76E-04
3408.47,1.75E-04
3415.3,1.74E-04
3422.13,1.72E-04
3428.96,1.71E-04
3435.79,1.70E-04
3442.62,1.69E-04
3449.45,1.68E-04
3456.28,1.66E-04
3463.11,1.65E-04
3469.95,1.64E-04
3476.78,1.63E-04
3483.61,1.62E-04
3490.44,1.61E-04
3497.27,1.60E-04
3504.1,1.59E-04
3510.93,1.58E-04
3517.76,1.57E-04
3524.59,1.55E-04
3531.42,1.54E-04
3538.25,1.53E-04
3545.08,1.52E-04
3551.91,1.51E-04
3558.74,1.50E-04
3565.57,1.49E-04
3572.4,1.48E-04
3579.23,1.47E-04
3586.07,1.46E-04
3592.9,1.45E-04
3599.73,1.44E-04
3606.56,1.44E-04
3613.39,1.43E-04
3620.22,1.42E-04
3627.05,1.41E-04
3633.88,1.40E-04
3640.71,1.39E-04
3647.54,1.38E-04
3654.37,1.37E-04
3661.2,1.36E-04
3668.03,1.35E-04
3674.86,1.35E-04
3681.69,1.34E-04
3688.52,1.33E-04
3695.36,1.32E-04
3702.19,1.31E-04
3709.02,1.30E-04
3715.85,1.29E-04
3722.68,1.29E-04
3729.51,1.28E-04
3736.34,1.27E-04
3743.17,1.26E-04
3750,1.25E-04
3756.83,1.25E-04
3763.66,1.24E-04
3770.49,1.23E-04
3777.32,1.22E-04
3784.15,1.22E-04
3790.98,1.21E-04
3797.81,1.20E-04
3804.64,1.19E-04
3811.48,1.19E-04
3818.31,1.18E-04
3825.14,1.17E-04
3831.97,1.17E-04
3838.8,1.16E-04
3845.63,1.15E-04
3852.46,1.14E-04
3859.29,1.14E-04
3866.12,1.13E-04
3872.95,1.12E-04
3879.78,1.12E-04
3886.61,1.11E-04
3893.44,1.10E-04
3900.27,1.10E-04
3907.1,1.09E-04
3913.93,1.08E-04
3920.77,1.08E-04
3927.6,1.07E-04
3934.43,1.07E-04
3941.26,1.06E-04
3948.09,1.05E-04
3954.92,1.05E-04
3961.75,1.04E-04
3968.58,1.04E-04
3975.41,1.03E-04
3982.24,1.02E-04
3989.07,1.02E-04
3995.9,1.01E-04
4002.73,1.01E-04
4009.56,1.00E-04
4016.39,9.94E-05
4023.22,9.88E-05
4030.05,9.83E-05
4036.89,9.77E-05
4043.72,9.72E-05
4050.55,9.66E-05
4057.38,9.61E-05
4064.21,9.55E-05
4071.04,9.50E-05
