 wl,n
0,1.6679
6.8306,1.66791
13.6612,1.66793
20.4918,1.66797
27.3224,1.66803
34.153,1.6681
40.9836,1.66819
47.8142,1.6683
54.6448,1.66842
61.4754,1.66856
68.306,1.66871
75.1366,1.66888
81.9672,1.66907
88.7978,1.66928
95.6284,1.6695
102.459,1.66973
109.29,1.66999
116.12,1.67026
122.951,1.67055
129.781,1.67086
136.612,1.67118
143.443,1.67153
150.273,1.67188
157.104,1.67226
163.934,1.67266
170.765,1.67307
177.596,1.67351
184.426,1.67396
191.257,1.67443
198.087,1.67492
204.918,1.67542
211.749,1.67595
218.579,1.6765
225.41,1.67707
232.24,1.67766
239.071,1.67827
245.902,1.6789
252.732,1.67955
259.563,1.68022
266.393,1.68092
273.224,1.68163
280.055,1.68237
286.885,1.68314
293.716,1.68392
300.546,1.68473
307.377,1.68557
314.208,1.68643
321.038,1.68731
327.869,1.68822
334.699,1.68916
341.53,1.69012
348.361,1.69111
355.191,1.69213
362.022,1.69317
368.852,1.69425
375.683,1.69535
382.514,1.69649
389.344,1.69766
396.175,1.69885
403.005,1.70008
409.836,1.70135
416.667,1.70265
423.497,1.70398
430.328,1.70535
437.158,1.70675
443.989,1.70819
450.82,1.70968
457.65,1.7112
464.481,1.71276
471.311,1.71436
478.142,1.71601
484.973,1.7177
491.803,1.71944
498.634,1.72122
505.464,1.72305
512.295,1.72493
519.126,1.72686
525.956,1.72885
532.787,1.73089
539.617,1.73299
546.448,1.73514
553.279,1.73735
560.109,1.73963
566.94,1.74197
573.77,1.74438
580.601,1.74686
587.432,1.7494
594.262,1.75202
601.093,1.75472
607.923,1.7575
614.754,1.76036
621.585,1.7633
628.415,1.76634
635.246,1.76946
642.077,1.77269
648.907,1.77601
655.738,1.77944
662.568,1.78297
669.399,1.78662
676.23,1.79039
683.06,1.79429
689.891,1.79831
696.721,1.80247
703.552,1.80677
710.383,1.81121
717.213,1.81582
724.044,1.82059
730.874,1.82553
737.705,1.83065
744.536,1.83596
751.366,1.84147
758.197,1.84719
765.027,1.85314
771.858,1.85932
778.689,1.86575
785.519,1.87245
792.35,1.87943
799.18,1.8867
806.011,1.8943
812.842,1.90222
819.672,1.91051
826.503,1.91919
833.333,1.92827
840.164,1.9378
846.995,1.94779
853.825,1.9583
860.656,1.96935
867.486,1.98099
874.317,1.99328
881.148,2.00625
887.978,2.01998
894.809,2.03453
901.639,2.04998
908.47,2.06641
915.301,2.08392
922.131,2.10263
928.962,2.12265
935.792,2.14413
942.623,2.16725
949.454,2.1922
956.284,2.21921
963.115,2.24855
969.945,2.28054
976.776,2.31558
983.607,2.35412
990.437,2.39674
997.268,2.44413
1004.1,2.49718
1010.93,2.55699
1017.76,2.625
1024.59,2.70308
1031.42,2.79373
1038.25,2.90037
1045.08,3.02781
1051.91,3.18301
1058.74,3.37636
1065.57,3.62392
1072.4,3.9509
1079.23,4.394
1086.07,4.972
1092.9,5.36068
1099.73,4.06147
1106.56,2.13872
1113.39,1.20847
1120.22,0.78407
1127.05,0.56226
1133.88,0.43221
1140.71,0.34944
1147.54,0.29373
1154.37,0.25487
1161.2,0.22734
1168.03,0.20802
1174.86,0.19521
1181.69,0.1882
1188.52,0.18715
1195.36,0.19339
1202.19,0.21034
1209.02,0.24607
1215.85,0.31954
1222.68,0.45898
1229.51,0.64767
1236.34,0.84364
1243.17,1.03968
1250,1.216
1256.83,1.23049
1263.66,0.90316
1270.49,0.5633
1277.32,0.38277
1284.15,0.29557
1290.98,0.25556
1297.81,0.24566
1304.64,0.26579
1311.48,0.3262
1318.31,0.41505
1325.14,0.49946
1331.97,0.57001
1338.8,0.62865
1345.63,0.67824
1352.46,0.72093
1359.29,0.75824
1366.12,0.79127
1372.95,0.82081
1379.78,0.84746
1386.61,0.87169
1393.44,0.89384
1400.27,0.91421
1407.1,0.93302
1413.93,0.95048
1420.77,0.96673
1427.6,0.98191
1434.43,0.99613
1441.26,1.00948
1448.09,1.02206
1454.92,1.03393
1461.75,1.04514
1468.58,1.05577
1475.41,1.06586
1482.24,1.07544
1489.07,1.08456
1495.9,1.09326
1502.73,1.10156
1509.56,1.10949
1516.39,1.11707
1523.22,1.12434
1530.05,1.1313
1536.89,1.13798
1543.72,1.1444
1550.55,1.15057
1557.38,1.15651
1564.21,1.16223
1571.04,1.16773
1577.87,1.17304
1584.7,1.17817
1591.53,1.18312
1598.36,1.1879
1605.19,1.19252
1612.02,1.19699
1618.85,1.20132
1625.68,1.20551
1632.51,1.20957
1639.34,1.2135
1646.17,1.21732
1653.01,1.22103
1659.84,1.22462
1666.67,1.22811
1673.5,1.23151
1680.33,1.2348
1687.16,1.23801
1693.99,1.24113
1700.82,1.24417
1707.65,1.24712
1714.48,1.25
1721.31,1.2528
1728.14,1.25553
1734.97,1.2582
1741.8,1.26079
1748.63,1.26332
1755.46,1.2658
1762.3,1.26821
1769.13,1.27056
1775.96,1.27286
1782.79,1.2751
1789.62,1.2773
1796.45,1.27944
1803.28,1.28154
1810.11,1.28359
1816.94,1.28559
1823.77,1.28755
1830.6,1.28947
1837.43,1.29134
1844.26,1.29318
1851.09,1.29498
1857.92,1.29674
1864.75,1.29846
1871.58,1.30015
1878.42,1.30181
1885.25,1.30343
1892.08,1.30502
1898.91,1.30658
1905.74,1.30811
1912.57,1.30961
1919.4,1.31108
1926.23,1.31253
1933.06,1.31394
1939.89,1.31533
1946.72,1.3167
1953.55,1.31804
1960.38,1.31935
1967.21,1.32064
1974.04,1.32191
1980.87,1.32316
1987.7,1.32438
1994.54,1.32558
2001.37,1.32676
